Bloco	Data	NBPT	Dose	Fonte	N	Ca	Mg	S	P	K	Cu	Zn	Mn	Fe
1	60	0	50	ureia	NA	3.34	2.57	NA	1.89	9.83	4.74	15.65	NA	56.66
2	60	0	50	ureia	18.87	4.40	2.36	2.40	1.94	12.53	5.82	11.99	130.05	74.31
3	60	0	50	ureia	18.32	6.01	2.26	3.06	2.31	14.34	6.69	15.81	126.27	125.28
4	60	0	50	ureia	19.08	5.19	2.60	2.79	2.70	13.46	6.56	13.51	126.67	91.69
1	60	0	100	ureia	22.34	4.52	2.21	2.31	2.10	13.33	6.74	11.66	184.17	104.04
2	60	0	100	ureia	19.07	6.87	2.64	3.14	1.86	11.95	6.46	13.80	129.88	89.17
3	60	0	100	ureia	17.67	6.47	2.36	2.95	2.31	13.81	6.58	14.43	136.77	136.89
4	60	0	100	ureia	17.74	7.63	2.92	3.44	2.35	12.15	6.39	13.92	131.79	101.23
1	60	530	50	u530	19.93	6.69	2.43	3.03	1.92	12.48	6.23	13.40	149.34	107.80
2	60	530	50	u530	18.34	6.68	2.16	2.89	1.99	14.46	6.20	17.34	143.09	104.54
3	60	530	50	u530	19.08	5.52	2.86	3.07	2.23	11.53	6.19	13.34	134.46	99.50
4	60	530	50	u530	18.08	5.63	2.73	2.84	2.84	14.06	6.84	14.76	172.77	94.95
1	60	530	100	u530	21.25	5.74	2.48	2.59	1.94	13.50	6.30	12.86	158.42	132.11
2	60	530	100	u530	20.53	5.54	2.35	2.97	2.26	14.65	7.07	13.54	150.19	107.92
3	60	530	100	u530	18.15	5.78	2.43	3.06	2.16	12.90	6.80	14.51	146.41	113.55
4	60	530	100	u530	19.41	6.78	2.50	3.25	2.95	15.19	7.87	12.94	134.06	99.27
1	60	950	50	u950	21.50	5.42	2.68	2.72	2.20	14.28	7.13	13.92	198.79	118.92
2	60	950	50	u950	18.12	6.06	2.42	2.78	2.11	13.87	6.16	12.24	148.71	99.67
3	60	950	50	u950	18.13	6.47	2.42	2.74	2.17	12.37	6.03	14.32	113.21	115.41
4	60	950	50	u950	16.47	7.27	2.70	3.41	2.63	13.77	6.82	13.02	127.09	105.40
1	60	950	100	u950	20.44	4.70	2.11	2.71	1.98	14.02	6.45	11.12	159.40	90.77
2	60	950	100	u950	20.16	6.28	2.28	3.12	2.26	14.84	6.68	14.24	157.50	83.68
3	60	950	100	u950	19.36	5.22	2.38	2.88	2.44	14.89	6.82	14.34	170.17	117.56
4	60	950	100	u950	18.03	6.20	2.59	3.05	1.76	12.05	5.24	12.31	128.42	NA
1	60	1500	50	u1500	20.59	4.68	2.18	2.31	2.36	13.76	6.85	11.49	165.20	118.36
2	60	1500	50	u1500	19.14	7.56	2.91	3.70	2.12	12.14	7.13	14.86	134.59	112.64
3	60	1500	50	u1500	18.60	5.04	2.46	2.89	2.20	14.69	6.52	14.31	136.33	115.91
4	60	1500	50	u1500	16.32	6.06	2.52	2.88	1.95	11.13	4.91	10.42	116.75	90.66
1	60	1500	100	u1500	19.97	6.83	2.00	2.42	2.05	11.45	7.00	12.90	128.13	108.33
2	60	1500	100	u1500	19.26	5.02	2.48	2.73	2.19	14.84	6.28	12.37	174.95	89.95
3	60	1500	100	u1500	19.42	6.23	2.37	3.11	2.16	12.50	6.91	17.66	169.08	122.78
4	60	1500	100	u1500	19.35	6.37	2.49	2.58	1.89	11.32	5.56	12.77	142.87	88.52
1	60	2000	50	u2000	20.09	5.89	2.76	2.94	2.03	12.85	6.92	13.66	215.09	98.10
2	60	2000	50	u2000	19.29	5.83	2.53	3.44	2.34	14.03	7.06	13.10	169.04	105.55
3	60	2000	50	u2000	18.87	4.01	2.33	2.93	2.51	17.30	6.71	12.74	132.93	94.46
4	60	2000	50	u2000	17.87	6.22	2.36	2.82	2.05	11.20	5.31	10.99	119.25	81.94
1	60	2000	100	u2000	21.14	6.37	2.81	3.21	2.21	12.93	7.19	13.30	195.59	116.40
2	60	2000	100	u2000	18.80	4.42	2.28	2.76	2.07	14.17	6.35	12.28	162.30	100.63
3	60	2000	100	u2000	20.26	5.88	2.73	3.29	2.55	13.68	7.57	13.79	152.06	119.67
4	60	2000	100	u2000	18.97	4.32	2.29	2.47	1.90	12.34	5.37	10.93	141.24	75.32
1	120	0	50	ureia	15.18	4.26	1.89	1.87	2.31	12.42	4.31	9.23	94.29	61.43
2	120	0	50	ureia	14.76	5.17	2.02	2.31	3.02	13.41	4.48	10.28	98.34	65.66
