Tratamento	N	Ca	Mg	S	P	K	Cu	Zn	Mn	Fe
ureia-50	16.7842857142857	4.59375	2.2125	2.33571428571429	2.35625	12.8075	5.2375	12.24125	105.338571428571	77.1975
ureia-100	17.66875	5.175	2.1675	2.38625	2.15375	12.49125	5.76285714285714	12.3414285714286	112.325	89.2425
u530-50	17.31625	5.3275	2.30625	2.5275	2.46375	13.14	5.63375	12.6575	120.34	87.8425
u530-100	18.11375	5.41625	2.22375	2.615	2.43	13.5525	6.04375	12.4425	117.694285714286	93.79
u950-50	16.99125	5.39	2.2275	2.505	2.395	13.28125	5.49	12.39125	115.91875	87.30375
u950-100	18.085	5.09	2.16875	2.5975	2.3125	13.1525	5.6075	13.0485714285714	122.01875	81.6685714285714
u1500-50	17.0825	5.1875	2.2125	2.5325	2.3075	12.76875	5.38	11.2725	114.675	89.31125
u1500-100	17.71	5.43125	2.12875	2.44875	2.315	12.55375	5.5725	12.6275	126.19125	87.28
u2000-50	17.3625	5.04	2.25	2.68125	2.48125	13.57125	5.58375	11.6675	129.6325	82.095
u2000-100	18.19375	4.9575	2.30375	2.685	2.50125	12.93125	5.78125	12.05625	133.28125	84.83375
